S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
25.38,25.38,24.88,25.69,0,0,0,0,0.07,0.05,0.06,0.06,375,0.0,0,0,0
25.94,25.88,25.63,26.06,0,0,0,0,0.06,0.05,0.06,0.07,875,-2.65769230769,0,0,0
25.94,26.94,25.56,26.31,14,15,71,50,0.07,0.07,0.05,0.06,605,-1.02307692308,0,0,0
25.69,25.69,25.31,25.81,0,0,0,0,0.07,0.05,0.06,0.06,595,-2.95769230769,0,0,0
25.94,28.38,25.56,26.19,161,249,228,70,0.52,0.42,1.03,0.33,845,8.83846153846,1,1,3
26.13,26.0,25.81,26.25,0,0,0,0,0.07,0.05,0.06,0.06,1000,-0.188461538462,0,0,0
26.0,27.5,25.88,26.31,165,254,280,72,0.92,0.43,0.42,0.29,870,1.37692307692,1,1,2
25.31,25.31,24.88,25.75,0,0,0,0,0.06,0.05,0.06,0.06,370,0.0,0,0,0
25.25,25.25,24.75,25.63,0,0,0,0,0.06,0.05,0.06,0.06,365,0.0,0,0,0
25.19,25.25,24.88,25.38,0,0,0,0,0.07,0.04,0.05,0.08,345,0.0,0,0,0
25.31,25.31,24.81,25.69,0,0,0,0,0.07,0.05,0.06,0.06,365,-0.0192307692308,0,0,0
25.5,25.5,25.06,25.81,0,0,0,0,0.06,0.04,0.06,0.06,390,-1.02307692308,0,0,0
25.94,26.25,25.81,26.0,142,227,7,7,0.29,1.92,0.16,0.1,855,0.276923076923,0,0,2
25.38,25.38,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,365,0.0,0,0,0
25.06,25.06,24.63,25.31,6,6,31,22,0.08,0.05,0.06,0.1,350,0.0,0,0,0
26.19,25.75,25.75,26.31,116,25,185,17,0.84,0.92,0.15,0.69,690,2.65384615385,0,1,2
25.44,25.44,25.13,26.0,0,0,0,0,0.08,0.05,0.06,0.09,355,0.0769230769231,0,0,0
25.19,25.25,24.69,25.5,0,0,0,0,0.07,0.05,0.07,0.06,365,-0.0269230769231,0,0,0
25.31,25.31,24.81,25.69,0,0,0,0,0.07,0.05,0.06,0.06,365,-0.0846153846154,0,0,0
25.25,25.25,24.75,25.69,0,0,0,0,0.06,0.06,0.06,0.06,360,0.0,0,0,0
25.75,25.75,25.31,25.94,0,0,0,0,0.06,0.05,0.06,0.06,650,-2.07307692308,0,0,0
25.44,25.44,24.94,25.69,0,0,0,0,0.08,0.04,0.06,0.06,370,-0.0230769230769,0,0,0
26.38,27.56,26.13,26.38,0,228,180,0,1.58,1.23,0.8,0.65,1265,2.20384615385,1,1,3
25.38,25.38,25.0,25.5,0,0,0,0,0.07,0.05,0.06,0.08,360,-0.238461538462,0,0,0
26.19,27.31,26.13,26.38,160,247,218,59,0.9,1.02,2.62,0.61,950,0.223076923077,1,1,3
26.25,26.63,25.94,26.44,149,234,180,10,0.25,0.27,0.13,0.08,1080,2.53846153846,1,1,3
25.44,25.5,25.06,25.94,0,0,0,0,0.07,0.05,0.05,0.1,355,0.0923076923077,0,0,0
25.25,25.31,24.81,25.38,0,0,0,0,0.07,0.04,0.05,0.08,345,0.0,0,0,0
25.13,25.06,24.63,25.13,5,6,29,20,0.08,0.05,0.06,0.08,345,0.0,0,0,0
25.19,25.19,24.94,25.81,12,14,55,40,0.08,0.09,0.06,0.1,355,0.0,0,0,0
25.56,25.56,25.25,25.69,0,0,0,0,0.08,0.04,0.06,0.08,525,-2.50769230769,0,0,0
25.13,25.13,24.5,25.44,2,2,14,9,0.06,0.05,0.06,0.06,355,-0.103846153846,0,0,0
25.13,25.06,24.56,25.19,0,0,0,0,0.08,0.05,0.05,0.08,345,0.0,0,0,0
25.0,25.0,24.44,25.31,4,4,20,14,0.08,0.05,0.06,0.06,360,0.0653846153846,0,0,0
25.94,26.06,25.63,26.06,0,0,0,0,0.07,0.05,0.06,0.07,940,-2.84615384615,0,0,0
26.06,26.38,25.88,26.38,18,23,99,60,0.07,0.07,0.07,0.09,855,-4.76923076923,0,0,0
25.44,25.44,25.0,25.69,0,0,0,0,0.07,0.04,0.06,0.07,370,0.0,0,0,0
25.19,25.25,24.69,25.56,0,0,0,0,0.08,0.05,0.05,0.09,355,0.0,0,0,0
25.19,25.19,24.69,25.25,0,0,0,0,0.07,0.04,0.05,0.08,345,0.0,0,0,0
25.44,25.44,25.19,26.06,0,0,0,0,0.07,0.05,0.06,0.1,355,0.173076923077,0,0,0
25.25,25.25,24.69,25.56,0,0,0,0,0.07,0.06,0.06,0.06,360,-0.0807692307692,0,0,0
25.44,25.44,25.19,26.0,0,0,0,0,0.07,0.05,0.06,0.11,355,0.0461538461538,0,0,0
25.5,25.5,25.19,25.63,0,0,0,0,0.07,0.05,0.06,0.09,390,-0.576923076923,0,0,0
25.44,25.44,24.94,25.56,0,0,0,0,0.07,0.04,0.06,0.07,375,0.0,0,0,0
25.81,25.94,25.5,26.0,0,0,0,0,0.06,0.04,0.07,0.06,800,-2.49615384615,0,0,0
25.13,25.13,24.63,25.5,7,7,35,23,0.07,0.06,0.06,0.06,360,-0.0346153846154,0,0,0
25.81,25.88,25.5,25.81,0,0,0,0,0.07,0.05,0.05,0.09,755,-1.97692307692,0,0,0
25.94,28.13,25.56,26.19,162,246,227,70,0.33,2.11,1.05,0.43,845,8.78076923077,1,0,3
25.38,25.44,25.06,25.88,0,0,0,0,0.07,0.06,0.05,0.09,355,-0.0153846153846,0,0,0
25.31,25.38,24.88,25.81,0,0,0,0,0.08,0.04,0.07,0.1,355,0.0,0,0,0
25.13,25.13,24.56,25.31,0,0,3,2,0.08,0.04,0.07,0.09,350,0.0192307692308,0,0,0
25.13,25.13,24.63,25.25,0,0,0,0,0.08,0.05,0.05,0.09,345,0.0,0,0,0
25.06,25.13,24.56,25.38,4,4,19,13,0.07,0.05,0.06,0.06,360,0.0461538461538,0,0,0
25.38,25.38,25.38,26.06,19,23,82,59,0.08,0.06,0.06,0.11,355,0.0,0,0,0
25.94,26.19,25.88,25.94,146,230,170,19,0.1,0.31,0.08,0.08,835,1.27692307692,1,0,2
25.69,25.63,25.31,25.81,0,0,0,0,0.07,0.05,0.06,0.06,590,-2.58461538462,0,0,0
25.19,25.19,24.69,25.56,0,0,0,0,0.07,0.05,0.06,0.1,355,0.0,0,0,0
26.06,26.81,25.56,26.31,117,21,25,19,0.12,0.07,0.05,0.06,520,1.41538461538,0,0,1
25.25,25.25,24.69,25.56,0,0,0,0,0.06,0.05,0.07,0.06,360,0.0,0,0,0
25.38,25.38,25.0,25.81,0,0,0,0,0.08,0.06,0.06,0.1,355,0.0,0,0,0
26.25,26.31,25.94,26.31,149,234,185,10,0.09,0.21,0.08,0.07,990,2.11538461538,0,0,3
25.56,25.56,25.19,25.81,0,0,0,0,0.06,0.05,0.07,0.06,465,-1.88846153846,0,0,0
25.06,25.06,24.63,25.31,7,7,36,24,0.08,0.05,0.16,0.05,360,0.0538461538462,0,0,0
26.19,25.75,25.75,26.25,116,25,187,16,0.7,0.81,3.17,0.62,695,2.48461538462,0,0,2
25.31,25.25,24.75,25.69,0,0,0,0,0.08,0.05,0.06,0.09,355,0.0,0,0,0
25.31,25.31,25.19,25.94,18,20,76,54,0.08,0.05,0.06,0.1,355,0.0,0,0,0
25.13,25.06,24.63,25.19,6,7,32,21,0.08,0.05,0.06,0.09,345,0.0,0,0,0
25.31,25.38,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,370,0.0,0,0,0
25.31,25.31,24.88,25.75,0,0,0,0,0.07,0.04,0.06,0.06,370,0.0,0,0,0
25.44,25.5,25.13,26.0,0,0,0,0,0.08,0.04,0.06,0.1,350,0.0576923076923,0,0,0
25.31,25.31,24.88,25.69,0,0,0,0,0.06,0.05,0.06,0.06,370,0.0,0,0,0
25.19,25.19,24.69,25.25,0,0,0,0,0.07,0.05,0.05,0.08,345,0.0,0,0,0
25.19,25.19,24.63,25.38,0,0,0,0,0.08,0.05,0.06,0.1,355,0.0,0,0,0
25.38,25.38,25.06,25.5,0,0,0,0,0.07,0.04,0.05,0.09,370,-0.296153846154,0,0,0
25.81,25.94,25.56,25.88,0,0,0,0,0.07,0.05,0.05,0.08,780,-2.02692307692,0,0,0
26.0,26.19,25.75,26.19,0,0,0,0,0.07,0.05,0.06,0.06,1015,-3.71538461538,0,0,0
25.13,25.13,24.5,25.25,0,0,0,0,0.08,0.05,0.06,0.06,360,-0.0538461538462,0,0,0
25.56,25.56,25.25,25.69,0,0,0,0,0.08,0.05,0.06,0.09,490,-1.81923076923,0,0,0
25.31,25.38,25.0,25.5,0,0,0,0,0.08,0.04,0.05,0.09,360,-0.0884615384615,0,0,0
26.13,27.19,26.0,26.38,165,256,279,72,0.1,0.05,0.07,0.07,935,1.69230769231,0,0,3
26.31,27.94,26.06,26.44,150,239,182,11,1.27,0.82,0.88,0.28,1195,-0.161538461538,1,1,3
25.06,25.13,24.56,25.44,5,5,27,18,0.07,0.05,0.05,0.06,360,0.0,0,0,0
25.81,26.88,25.56,26.25,11,11,57,42,0.08,0.08,0.06,0.06,490,-1.88076923077,0,0,0
25.31,25.31,24.88,25.69,0,0,0,0,0.07,0.05,0.06,0.09,355,0.0,0,0,0
25.44,25.44,25.38,26.13,8,10,40,29,0.14,0.12,0.15,0.12,355,0.0,0,0,0
25.38,25.38,25.06,25.5,0,0,0,0,0.07,0.04,0.06,0.09,360,-0.265384615385,0,0,0
25.94,26.19,25.81,25.94,146,231,175,21,0.07,0.1,0.06,0.09,805,0.469230769231,1,1,2
25.5,25.5,25.13,25.88,0,0,0,0,0.07,0.05,0.06,0.06,390,-0.85,0,0,0
25.25,25.19,25.0,25.81,14,17,67,48,0.08,0.05,0.07,0.1,355,0.0,0,0,0
25.13,25.19,24.56,25.31,0,0,0,0,0.07,0.04,0.06,0.1,350,-0.0807692307692,0,0,0
25.56,27.25,25.0,25.94,156,243,74,58,0.22,0.06,0.06,0.06,590,2.01923076923,0,0,2
25.31,25.31,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,370,0.0,0,0,0
25.88,26.06,25.56,26.13,0,0,0,0,0.07,0.04,0.06,0.06,875,-3.38846153846,0,0,0
25.31,25.31,24.81,25.75,0,0,0,0,0.06,0.05,0.06,0.06,370,1.23168185923e-17,0,0,0
25.44,25.44,25.13,26.0,0,0,0,0,0.07,0.04,0.07,0.09,355,0.0269230769231,0,0,0
25.44,25.44,25.0,25.63,0,0,0,0,0.07,0.05,0.05,0.06,375,0.0,0,0,0
25.06,25.0,24.56,25.31,6,6,33,22,0.08,0.05,0.06,0.06,360,0.0,0,0,0
25.13,25.13,24.5,25.44,4,4,20,14,0.06,0.05,0.06,0.06,360,-0.0153846153846,0,0,0
25.25,25.25,24.75,25.63,0,0,0,0,0.07,0.04,0.06,0.11,355,0.0,0,0,0
25.44,25.44,24.94,25.56,0,0,0,0,0.07,0.05,0.07,0.06,375,0.0,0,0,0
25.94,26.19,25.88,25.94,141,226,7,7,0.4,0.31,0.15,0.11,850,-0.107692307692,1,0,2
25.25,25.25,24.75,25.63,0,0,0,0,0.07,0.05,0.07,0.06,365,-0.0384615384615,0,0,0
25.88,25.88,25.69,26.31,118,35,79,49,0.21,0.05,0.13,0.06,590,-2.97307692308,0,0,1
25.31,25.31,24.81,25.75,0,0,0,0,0.07,0.04,0.06,0.06,370,0.0,0,0,0
25.81,26.81,25.5,26.25,120,26,49,35,0.26,0.08,0.08,0.06,420,-1.82307692308,0,0,1
26.31,27.44,26.06,26.44,150,237,180,10,0.7,0.19,0.64,0.11,1200,2.10384615385,1,0,3
25.19,25.19,24.75,25.25,0,0,0,0,0.07,0.04,0.06,0.09,345,0.0,0,0,0
25.13,25.13,24.5,25.44,0,0,0,0,0.07,0.04,0.06,0.06,355,0.0884615384615,0,0,0
25.25,25.31,24.81,25.38,0,0,0,0,0.07,0.06,0.05,0.09,345,0.0,0,0,0
25.56,25.56,25.13,25.69,0,0,0,0,0.07,0.05,0.06,0.06,390,-1.30384615385,0,0,0
26.0,27.81,25.75,26.19,165,254,274,72,0.76,0.14,0.39,0.14,860,1.26153846154,1,1,3
25.44,25.44,25.13,26.0,0,0,0,0,0.08,0.04,0.06,0.1,350,-0.00384615384615,0,0,0
25.25,25.31,24.69,25.63,0,0,0,0,0.08,0.05,0.06,0.06,360,0.0,0,0,0
25.19,25.13,24.63,25.25,0,0,0,0,0.08,0.05,0.06,0.09,345,0.0,0,0,0
25.44,25.44,24.94,25.75,0,0,0,0,0.07,0.05,0.05,0.06,370,0.0,0,0,0
25.31,25.31,24.81,25.69,0,0,0,0,0.07,0.05,0.06,0.06,365,-0.05,0,0,0
25.25,25.25,24.75,25.63,0,0,0,0,0.08,0.05,0.06,0.06,365,0.0,0,0,0
25.63,25.63,25.25,25.88,0,0,0,0,0.07,0.05,0.05,0.06,555,-1.88846153846,0,0,0
25.06,25.06,24.44,25.19,0,0,0,0,0.08,0.05,0.07,0.06,355,-0.165384615385,0,0,0
25.19,24.94,24.75,25.56,123,35,57,44,1.27,0.06,0.11,0.13,425,1.17692307692,0,0,1
25.38,25.44,25.06,25.5,0,0,0,0,0.1,0.07,0.11,0.08,365,-0.276923076923,0,0,0
25.19,25.25,24.81,25.31,0,0,0,0,0.07,0.04,0.06,0.09,345,0.0,0,0,0
26.31,26.69,26.06,26.44,150,236,180,10,0.4,0.17,2.51,0.1,1160,2.95769230769,1,0,3
25.31,25.31,25.25,26.0,17,21,75,54,0.15,0.11,0.1,0.1,355,0.0,0,0,0
25.44,25.5,25.38,26.13,4,4,22,14,0.09,0.08,0.07,0.11,350,-0.169230769231,0,0,0
25.44,25.44,25.38,26.19,14,19,70,51,0.08,0.05,0.07,0.09,355,0.0,0,0,0
25.13,25.13,24.5,25.31,0,0,0,0,0.07,0.05,0.06,0.05,360,-0.0269230769231,0,0,0
25.06,25.13,24.5,25.5,5,5,24,16,0.08,0.05,0.05,0.07,360,0.0,0,0,0
25.19,24.88,24.69,25.56,123,35,58,44,0.08,0.05,0.05,0.06,420,1.02692307692,0,0,1
26.13,25.81,25.63,26.38,118,24,194,15,1.05,0.57,0.53,0.69,595,1.5,0,1,2
25.38,25.44,25.06,25.5,0,0,0,0,0.07,0.05,0.06,0.08,365,-0.219230769231,0,0,0
25.13,25.06,24.56,25.13,5,5,24,17,0.08,0.05,0.06,0.08,345,0.0,0,0,0
25.13,25.19,24.75,25.25,0,0,0,0,0.07,0.05,0.05,0.09,345,0.0,0,0,0
25.06,25.0,24.5,25.31,5,6,30,20,0.08,0.06,0.06,0.06,360,0.0,0,0,0
26.06,26.44,26.0,26.38,19,23,99,60,0.13,0.05,0.07,0.08,945,-0.180769230769,0,0,0
25.63,25.63,25.31,25.69,0,0,0,0,0.07,0.05,0.06,0.08,555,-1.92307692308,0,0,0
25.38,25.38,24.88,25.69,0,0,0,0,0.07,0.05,0.06,0.07,365,0.0,0,0,0
26.31,27.94,26.06,26.5,150,239,181,11,1.14,0.12,0.23,0.09,1210,-0.5,0,0,3
25.44,25.44,25.06,25.56,0,0,0,0,0.07,0.04,0.06,0.06,380,-0.0346153846154,0,0,0
25.38,25.38,24.94,25.81,0,0,0,0,0.07,0.05,0.06,0.09,355,0.0,0,0,0
25.44,25.44,24.94,25.63,0,0,0,0,0.07,0.05,0.06,0.06,370,0.0,0,0,0
26.25,26.38,26.0,26.5,147,234,177,10,0.66,0.8,2.21,0.68,1055,2.73076923077,0,1,3
25.19,25.19,24.63,25.5,0,0,0,0,0.06,0.05,0.07,0.06,360,0.0,0,0,0
25.25,25.25,24.75,25.56,0,0,0,0,0.08,0.05,0.06,0.1,355,0.0,0,0,0
25.25,25.25,24.81,25.31,0,0,0,0,0.07,0.04,0.05,0.09,345,0.0,0,0,0
25.19,25.19,24.88,25.81,14,15,61,44,0.08,0.05,0.06,0.07,355,0.0269230769231,0,0,0
25.25,25.31,24.88,25.38,0,0,0,0,0.07,0.04,0.06,0.08,345,0.0,0,0,0
25.75,25.88,25.44,25.81,0,0,0,0,0.07,0.06,0.06,0.09,735,-1.38461538462,0,0,0
26.19,25.75,25.75,26.31,116,24,181,13,3.21,0.18,0.15,0.19,725,1.71153846154,1,1,2
26.19,27.31,26.06,26.38,164,253,268,70,0.18,0.16,0.68,0.19,965,1.73846153846,1,1,3
26.25,26.25,25.88,26.38,150,234,185,10,0.31,0.45,0.18,0.18,955,2.54615384615,0,0,3
25.44,25.44,25.06,25.56,0,0,0,0,0.07,0.05,0.06,0.08,375,-0.126923076923,0,0,0
25.19,25.19,24.56,25.5,0,0,0,0,0.06,0.04,0.06,0.06,360,0.0,0,0,0
25.19,25.19,24.63,25.5,0,0,0,0,0.07,0.05,0.06,0.06,360,0.0,0,0,0
25.06,25.13,24.56,25.44,4,4,20,14,0.07,0.05,0.05,0.06,360,-0.0269230769231,0,0,0
25.44,25.44,25.0,25.81,0,0,0,0,0.07,0.05,0.06,0.06,385,0.0,0,0,0
25.13,25.13,24.56,25.19,0,0,0,0,0.08,0.05,0.06,0.09,345,0.0,0,0,0
25.31,25.38,24.94,25.81,0,0,0,0,0.07,0.05,0.06,0.1,355,0.0,0,0,0
25.25,25.25,24.75,25.63,0,0,0,0,0.07,0.06,0.07,0.1,355,0.0,0,0,0
25.25,25.31,24.81,25.63,0,0,0,0,0.08,0.04,0.07,0.1,355,0.0,0,0,0
25.19,25.13,24.63,25.25,0,0,0,0,0.08,0.05,0.05,0.08,345,0.0,0,0,0
25.63,25.31,25.13,25.94,123,37,69,49,1.05,0.37,0.18,0.18,375,0.219230769231,0,0,1
25.25,25.25,24.69,25.56,0,0,0,0,0.07,0.05,0.06,0.06,360,0.0,0,0,0
25.31,25.38,25.0,25.44,0,0,0,0,0.07,0.04,0.06,0.09,355,0.0,0,0,0
25.44,25.44,25.0,25.63,0,0,0,0,0.07,0.05,0.06,0.07,370,0.0,0,0,0
25.63,25.63,25.25,25.81,0,0,0,0,0.07,0.05,0.06,0.06,530,-1.81923076923,0,0,0
26.06,26.81,25.56,26.38,118,21,27,20,0.14,0.1,0.06,0.08,515,1.69615384615,1,0,1
26.06,25.75,25.56,26.31,116,26,42,24,0.09,0.05,0.06,0.06,615,0.769230769231,0,0,1
25.19,25.19,24.63,25.44,0,0,0,0,0.07,0.05,0.06,0.11,355,0.0,0,0,0
25.88,26.94,25.56,26.31,14,14,68,49,0.59,0.46,0.76,0.2,525,-3.93076923077,1,1,0
25.19,25.13,24.81,25.75,11,13,52,35,0.08,0.04,0.05,0.09,355,0.0,0,0,0
25.31,25.31,25.19,25.94,17,20,75,54,0.07,0.05,0.07,0.09,355,0.0,0,0,0
25.06,25.06,24.44,25.38,0,0,0,0,0.08,0.05,0.06,0.06,355,0.0,0,0,0
26.06,27.19,26.0,26.31,165,254,274,71,0.41,0.11,1.16,0.14,915,1.37307692308,0,1,3
26.19,27.13,26.0,26.38,165,255,277,73,0.08,0.1,0.27,0.07,955,1.35769230769,0,0,3
